Temps;ax;ay;az;gx;gy;gz
8150;-1.0322;0.8838;0.2236;36.8293;36.8293;36.8293
8160;-0.9321;0.5005;0.0752;24.3902;24.3902;24.3902
8170;-0.8867;0.1855;-0.0703;8.1098;8.1098;8.1098
8180;-0.9102;-0.0737;-0.1963;-7.0732;-7.0732;-7.0732
8190;-0.9048;-0.3066;-0.3140;-9.8171;-9.8171;-9.8171
8200;-0.9277;-0.4502;-0.4053;-10.0610;-10.0610;-10.0610
8210;-0.9702;-0.4517;-0.4307;-8.9024;-8.9024;-8.9024
8220;-0.9810;-0.4121;-0.4370;-3.4146;-3.4146;-3.4146
8230;-0.9590;-0.3848;-0.4155;5.9146;5.9146;5.9146
8240;-0.9268;-0.3745;-0.4214;19.7561;19.7561;19.7561
8250;-0.9268;-0.3291;-0.3779;33.5976;33.5976;33.5976
8260;-0.9009;-0.2568;-0.3384;37.5610;37.5610;37.5610
8270;-0.8682;-0.1938;-0.2944;41.4024;41.4024;41.4024
8280;-0.8501;-0.1074;-0.2505;47.5000;47.5000;47.5000
8290;-0.8740;-0.0176;-0.2090;52.5610;52.5610;52.5610
8300;-0.9302;0.0625;-0.1646;52.2561;52.2561;52.2561
8310;-1.0024;0.1353;-0.1367;47.7439;47.7439;47.7439
8320;-1.0996;0.2007;-0.1270;39.4512;39.4512;39.4512
8330;-1.2144;0.2598;-0.0952;23.2317;23.2317;23.2317
8340;-1.3853;0.3481;-0.0967;9.6341;9.6341;9.6341
8350;-1.6377;0.4351;-0.1431;-2.5610;-2.5610;-2.5610
8360;-2.0073;0.4438;-0.2612;-12.5610;-12.5610;-12.5610
8370;-2.3940;0.4370;-0.3936;-23.9024;-23.9024;-23.9024
8380;-2.9458;0.2876;-0.6626;-25.9756;-25.9756;-25.9756
8390;-3.1616;-0.0361;-0.9077;-17.3780;-17.3780;-17.3780
8400;-3.1108;-0.1836;-0.9976;-18.1098;-18.1098;-18.1098
8410;-2.8057;-0.1270;-0.9238;-22.2561;-22.2561;-22.2561
8420;-2.2388;0.0234;-0.7764;-24.5732;-24.5732;-24.5732
8430;-1.6309;0.2173;-0.6245;-32.9878;-32.9878;-32.9878
8440;-1.1919;0.3242;-0.4512;-50.4878;-50.4878;-50.4878
8450;-0.7622;0.3130;-0.3101;-66.7073;-66.7073;-66.7073
8460;-0.2734;0.2656;-0.1763;-71.4024;-71.4024;-71.4024
8470;0.1699;0.2124;-0.0308;-68.2317;-68.2317;-68.2317
8480;0.5737;0.0918;0.1182;-56.4024;-56.4024;-56.4024
8491;0.8711;-0.0371;0.2173;-52.7439;-52.7439;-52.7439
8501;1.2246;-0.1904;0.1675;-58.5366;-58.5366;-58.5366
8511;1.1509;-0.3252;0.3477;-72.9878;-72.9878;-72.9878
8521;1.1650;-0.3970;0.3765;-82.0732;-82.0732;-82.0732
8531;1.0957;-0.3755;0.3398;-70.4268;-70.4268;-70.4268
8541;1.0186;-0.3179;0.2954;-49.4512;-49.4512;-49.4512
8551;0.8848;-0.2412;0.2310;-29.6341;-29.6341;-29.6341
8561;0.7266;-0.2358;0.1587;-11.4024;-11.4024;-11.4024
8571;0.5972;-0.1987;0.0479;15.2439;15.2439;15.2439
8581;0.5098;-0.1392;-0.0469;39.6951;39.6951;39.6951
8591;0.3413;-0.0786;-0.1484;64.3902;64.3902;64.3902
8601;0.2729;-0.0742;-0.1602;87.8659;87.8659;87.8659
8611;0.2153;0.0073;-0.1738;109.6341;109.6341;109.6341
8621;0.1089;0.0903;-0.1958;123.5366;123.5366;123.5366
8631;-0.0952;0.2739;-0.3003;131.7683;131.7683;131.7683
8641;-0.3662;0.3774;-0.3511;120.4878;120.4878;120.4878
8651;-0.7490;0.4351;-0.4561;90.9146;90.9146;90.9146
8662;-1.4126;0.5176;-0.5791;51.0976;51.0976;51.0976
8672;-2.3115;0.4580;-0.6631;14.0854;14.0854;14.0854
8682;-3.1099;0.2500;-0.7974;-2.5610;-2.5610;-2.5610
8692;-3.6406;-0.0269;-0.9351;14.3293;14.3293;14.3293
8702;-3.7393;-0.0542;-0.9170;52.9878;52.9878;52.9878
8712;-3.4810;-0.0073;-0.8145;93.9024;93.9024;93.9024
8722;-2.9507;0.1143;-0.6860;111.5244;111.5244;111.5244
8732;-2.4160;0.1865;-0.5234;97.6829;97.6829;97.6829
8742;-1.9980;0.1841;-0.3809;63.5366;63.5366;63.5366
8752;-1.6455;0.1382;-0.2617;25.8537;25.8537;25.8537
8762;-1.3447;0.1323;-0.1680;-9.2073;-9.2073;-9.2073
8772;-1.0967;0.1533;-0.1025;-27.2561;-27.2561;-27.2561
8782;-0.8579;0.1602;-0.0298;-27.7439;-27.7439;-27.7439
8792;-0.6577;0.1719;0.0249;-24.3293;-24.3293;-24.3293
8802;-0.4663;0.1509;0.0684;-21.0976;-21.0976;-21.0976
8812;-0.3994;0.1553;0.0996;-22.2561;-22.2561;-22.2561
8822;-0.3652;0.1235;0.0815;-30.4878;-30.4878;-30.4878
8832;-0.3755;0.1338;0.0962;-34.4512;-34.4512;-34.4512
8842;-0.3521;0.1113;0.0786;-31.0366;-31.0366;-31.0366
8852;-0.3774;0.1533;0.0542;-24.6341;-24.6341;-24.6341
8862;-0.5288;0.1880;0.0190;-23.1707;-23.1707;-23.1707
8872;-0.6826;0.1631;-0.0278;-27.5610;-27.5610;-27.5610
8882;-0.7285;0.1328;-0.0532;-26.5244;-26.5244;-26.5244
8892;-0.6392;0.0986;-0.0552;-9.2073;-9.2073;-9.2073
8902;-0.4429;0.0640;-0.0313;20.0000;20.0000;20.0000
8912;-0.1401;-0.0015;-0.0010;50.3049;50.3049;50.3049
8922;0.2920;-0.1372;0.0098;45.9146;45.9146;45.9146
8932;0.7241;-0.3398;0.0869;23.1098;23.1098;23.1098
8942;0.9985;-0.1890;0.1782;1.9512;1.9512;1.9512
8952;1.0210;0.1123;0.2788;2.0122;2.0122;2.0122
8962;0.9380;0.3413;0.1724;15.4268;15.4268;15.4268
